DROP,%UNWEIGHTED ILI
458,5.31714
459,5.87928
460,3.72011
461,6.31984
462,5.67383
463,4.54116
464,4.25699
465,4.90876
466,4.33735
467,4.2946
468,5.83518
469,5.28684
470,7.01722
471,5.01781
472,3.93926
473,4.82388
474,5.88523
475,3.6978
476,4.03138
477,5.40215
478,3.88971
479,6.92037
480,4.96483
481,3.8432
482,4.00132
483,5.45069
484,2.98101
485,4.24484
486,5.59763
487,4.60927
488,5.56897
489,3.78875
490,3.94331
491,4.32088
492,6.83956
493,2.86401
494,3.17175
495,4.86456
496,4.0621
497,4.83778
498,3.32515
499,3.61099
500,3.73692
501,4.71277
502,3.44957
503,3.4805
504,2.87474
505,3.82696
506,2.96691
507,2.50536
508,2.65615
509,5.99415
510,4.67995
511,2.57505
512,3.02766
513,1.9517
514,4.27215
515,2.94073
516,2.732
517,2.34168
518,2.70839
519,3.34928
520,1.57317
521,2.52708
522,1.71077
523,3.04503
524,1.55318
525,1.41287
526,2.37218
527,1.73218
528,2.49554
529,2.27663
530,2.92887
531,0.819672
532,2.0132
533,1.09931
534,1.23856
535,1.21314
536,1.1768
537,1.41627
538,1.83915
539,1.99531
540,0.619383
541,1.86916
542,0.648984
543,0.607454
544,0.802139
545,0.730855
546,0.506899
547,1.2409
548,1.55532
549,0.336221
550,1.79252
551,0.378317
552,0.650217
553,0.693481
554,0.111576
555,0.277778
556,0.989151
557,1.14754
558,0.341964
559,1.41253
560,0.189231
561,0.598802
562,0.579223
563,0.0878735
564,0.0576037
565,0.370199
566,1.46856
567,0.484094
568,1.19349
569,0.22659
570,0.65184
571,0.418449
572,0.340347
573,0.223214
574,1.30866
575,1.02362
576,0.1582
577,1.28845
578,0.104281
579,0.561293
580,0.468734
581,0.0631313
582,0.0292056
583,0.192272
584,1.18451
585,0.216685
586,2.0885
587,0.1101
588,0.49239
589,0.44891
590,0.0346141
591,0.0626763
592,1.02947
593,0.774793
594,0.0194704
595,1.71794
596,0.217555
597,0.544161
598,0.524877
599,0.123916
600,0
601,0.952842
602,0.883652
603,0.272716
604,1.4661
605,0.497422
606,1.01626
607,1.45897
608,0.0987362
609,0.658436
610,1.58861
611,1.37592
612,0.526981
613,1.93747
614,0.490858
615,1.30402
616,1.4945
617,0.46608
618,0.869232
619,1.54385
620,1.74346
621,0.295829
622,2.59039
623,0.667269
624,1.02564
625,1.49569
626,0.443599
627,0.478469
628,1.00373
629,1.09773
630,0.436253
631,1.723
632,0.793913
633,1.21951
634,1.39187
635,0.574713
636,0.260694
637,1.34262
638,1.00825
639,0.728472
640,1.91631
641,0.649763
642,1.22089
643,1.44801
644,1.00083
645,0.849231
646,1.61052
647,1.84564
648,0.57596
649,2.00893
650,0.867011
651,1.05382
652,1.48726
653,0.932111
654,0.630019
655,1.79489
656,1.52
657,0.639974
658,1.83415
659,0.854212
660,0.890975
661,1.60898
662,1.19158
663,1.03007
664,1.75255
665,1.8412
666,0.949752
667,1.50621
668,1.18319
669,0.748611
670,1.82075
671,1.3444
672,2.04807
673,2.62637
674,2.79614
675,1.08592
676,1.65846
677,1.39708
678,1.08323
679,1.55592
680,1.17848
681,2.9768
682,2.38192
683,3.58047
684,1.47621
685,2.0657
686,1.72886
687,1.65202
688,2.0307
689,1.44425
690,3.27755
691,3.53034
692,4.16218
693,1.92275
694,2.23104
695,3.53901
696,2.72855
697,2.2915
698,2.19009
699,3.55289
700,3.24199
701,4.55019
702,2.57955
703,4.07312
704,5.08813
705,3.29678
706,3.82661
707,3.70847
708,5.1168
709,5.0728
710,7.35717
711,3.75079
712,4.51229
713,7.07862
714,5.02257
715,4.92769
716,6.59257
717,8.2742
718,5.09317
719,8.43863
720,4.38662
721,5.22839
722,5.7708
723,3.59793
724,5.27756
725,5.75057
726,7.45614
727,4.77512
728,5.3167
729,4.62169
730,3.28062
731,4.19807
732,2.90232
733,4.56667
734,4.53401
735,4.65003
736,3.17859
737,4.77969
738,2.70378
739,3.02988
740,2.80095
741,1.98715
742,3.80365
743,4.36224
744,2.15487
745,2.77891
746,3.08778
747,1.93251
748,2.20475
749,2.01586
750,1.28456
751,3.23733
752,3.18712
753,1.2491
754,2.00125
755,3.02613
756,1.38365
757,2.05636
758,1.61714
759,0.954198
760,2.40752
761,2.44355
762,1.12506
763,2.06118
764,2.16357
765,0.97629
766,2.08521
767,1.673
768,0.874469
769,1.95981
770,1.5254
771,0.440319
772,2.01449
773,2.30047
774,0.832095
775,1.80744
776,0.982219
777,0.860674
778,1.50305
779,0.571615
780,0.310485
781,1.88732
782,1.14784
783,0.740491
784,1.43416
785,0.761913
786,0.468541
787,1.21234
788,0.715063
789,0.210526
790,1.80324
791,1.35135
792,0.456185
793,1.72172
794,0.871219
795,0.659532
796,1.48608
797,0.504016
798,0.680272
799,1.73526
800,0.979935
801,0.363636
802,1.51208
803,0.691455
804,0.582917
805,1.20233
806,0.469383
807,0.742574
808,1.42954
809,0.592255
810,0.621512
811,1.9591
812,0.554861
813,0.753453
814,0.875618
815,0.155763
816,0.374532
817,1.3215
818,0.835509
819,0.363226
820,1.21248
821,0.487616
822,0.805609
823,0.947689
824,0.127854
825,0
826,1.45745
827,0.897364
828,0.225175
829,1.61922
830,0.44481
831,0.595147
832,0.844018
833,0.151315
834,0
835,1.30749
836,0.4884
837,0.218394
838,1.56541
839,0.405157
840,0.556192
841,0.795303
842,0.111794
843,0.454545
844,1.0895
845,0.318066
846,0.155726
847,0.987092
848,0.345056
849,0.4423
850,0.725315
851,0.115821
852,0.277008
853,0.860599
854,0.326797
855,0.159084
856,0.873642
857,0.297974
858,0.563834
859,0.819081
860,0.153257
861,0.377358
862,0.242074
863,0.276243
864,0.16835
865,0.767881
866,0.268745
867,0.809061
868,0.77387
869,0.0763359
870,0.259067
871,0.301253
872,0.217746
873,0.161527
874,0.684346
875,0.323834
876,0.488599
877,0.973294
878,0
879,0.2331
880,0.159039
881,0.283688
882,0.0810373
883,0.899281
884,0.304088
885,0.652884
886,0.510798
887,0.0418936
888,0.241838
889,0.168373
890,0.205058
891,0.0557207
892,0.973574
893,0.245668
894,0.555556
895,0.568032
896,0
897,0.247831
898,0.242301
899,0.430416
900,0.581188
901,1.02195
902,1.29903
903,1.43317
904,0.774396
905,2.59
906,0.948992
907,1.08441
908,1.42211
909,0.65176
910,1.44009
911,1.10613
912,1.56055
913,0.678114
914,2.42898
915,0.0537538
916,0.900714
917,2.40164
918,0.456704
919,1.80758
920,1.16737
921,0.979136
922,1.32669
923,1.98566
924,0.239776
925,0.927483
926,1.5566
927,0.309677
928,1.81945
929,1.13118
930,1.19295
931,1.75497
932,1.81092
933,0.141703
934,0.889071
935,1.76991
936,0.379082
937,1.08015
938,1.01183
939,0.543792
940,1.26243
941,2.94712
942,0.20436
943,1.61235
944,2.00508
945,0.561896
946,1.17784
947,1.34889
948,1.13881
949,1.63017
950,2.64446
951,0.402881
952,1.56344
953,1.88791
954,0.592885
955,1.4951
956,1.00014
957,1.11364
958,1.68918
959,3.06151
960,0.410204
961,1.85612
962,2.08122
963,0.696954
964,1.71668
965,1.42529
966,1.39723
967,2.11937
968,4.07432
969,0.330777
970,2.02904
971,1.84342
972,0.729437
973,1.75388
974,1.33336
975,0.546368
976,1.59682
977,3.09122
978,0.561956
979,1.87237
980,2.51507
981,1.34069
982,1.86415
983,1.25743
984,1.17673
985,1.45361
986,3.28551
987,0.571081
988,2.1655
989,2.73748
990,0.704739
991,1.69476
992,1.69324
993,1.26996
994,1.75951
995,4.38217
996,1.28582
997,2.24661
998,4.09541
999,0.869723
1000,1.50804
1001,1.95235
1002,0.913659
1003,2.03073
1004,5.3569
1005,3.05725
1006,2.65372
1007,4.80097
1008,1.88955
1009,2.03179
1010,2.83732
1011,1.57407
1012,2.09637
1013,5.93694
1014,4.89518
1015,4.21858
1016,6.16279
1017,2.36957
1018,2.10835
1019,2.40833
1020,1.17614
1021,2.14883
1022,5.92412
1023,6.32107
1024,3.87889
1025,4.32264
1026,2.3677
1027,1.85019
1028,2.50636
1029,1.8346
1030,2.34015
1031,4.91153
1032,4.2168
1033,4.06024
1034,4.58942
1035,2.83028
1036,3.16413
1037,3.20764
1038,3.04665
1039,2.94061
1040,6.75937
1041,3.68886
1042,4.28564
1043,5.36387
1044,3.8257
1045,3.17257
1046,4.09161
1047,3.36726
1048,3.17111
1049,8.14191
1050,4.1276
1051,3.92723
1052,4.96743
1053,4.34594
1054,3.88649
1055,4.12161
1056,3.24328
1057,3.41425
1058,6.80699
1059,2.28481
1060,3.53703
1061,4.78842
1062,3.70818
1063,3.20125
1064,3.93153
1065,2.54499
1066,2.89255
1067,6.95459
1068,1.29257
1069,3.25321
1070,4.72488
1071,2.80563
1072,2.39735
1073,3.03383
1074,1.86074
1075,2.57478
1076,4.79144
1077,0.647623
1078,2.85184
1079,3.78757
1080,2.49768
1081,2.26974
1082,2.74854
1083,1.9927
1084,1.84462
1085,4.61137
1086,0.302453
