DROP,REGION,YEAR,WEEK
353,2,1998,45
354,3,1998,45
355,4,1998,45
356,5,1998,45
357,6,1998,45
358,7,1998,45
359,8,1998,45
360,0,1998,46
361,1,1998,46
362,2,1998,46
363,3,1998,46
364,4,1998,46
365,5,1998,46
366,6,1998,46
367,7,1998,46
368,8,1998,46
369,0,1998,47
370,1,1998,47
371,2,1998,47
372,3,1998,47
373,4,1998,47
374,5,1998,47
375,6,1998,47
376,7,1998,47
377,8,1998,47
378,0,1998,48
379,1,1998,48
380,2,1998,48
381,3,1998,48
382,4,1998,48
383,5,1998,48
384,6,1998,48
385,7,1998,48
386,8,1998,48
387,0,1998,49
388,1,1998,49
389,2,1998,49
390,3,1998,49
391,4,1998,49
392,5,1998,49
393,6,1998,49
394,7,1998,49
395,8,1998,49
396,0,1998,50
397,1,1998,50
398,2,1998,50
399,3,1998,50
400,4,1998,50
401,5,1998,50
402,6,1998,50
403,7,1998,50
404,8,1998,50
405,0,1998,51
406,1,1998,51
407,2,1998,51
408,3,1998,51
409,4,1998,51
410,5,1998,51
411,6,1998,51
412,7,1998,51
413,8,1998,51
414,0,1998,52
415,1,1998,52
416,2,1998,52
417,3,1998,52
418,4,1998,52
419,5,1998,52
420,6,1998,52
421,7,1998,52
422,8,1998,52
423,0,1999,1
424,1,1999,1
425,2,1999,1
426,3,1999,1
427,4,1999,1
428,5,1999,1
429,6,1999,1
430,7,1999,1
431,8,1999,1
432,0,1999,2
433,1,1999,2
434,2,1999,2
435,3,1999,2
436,4,1999,2
437,5,1999,2
438,6,1999,2
439,7,1999,2
440,8,1999,2
441,0,1999,3
442,1,1999,3
443,2,1999,3
444,3,1999,3
445,4,1999,3
446,5,1999,3
447,6,1999,3
448,7,1999,3
449,8,1999,3
450,0,1999,4
451,1,1999,4
452,2,1999,4
453,3,1999,4
454,4,1999,4
455,5,1999,4
456,6,1999,4
457,7,1999,4
458,8,1999,4
459,0,1999,5
460,1,1999,5
461,2,1999,5
462,3,1999,5
463,4,1999,5
464,5,1999,5
465,6,1999,5
466,7,1999,5
467,8,1999,5
468,0,1999,6
469,1,1999,6
470,2,1999,6
471,3,1999,6
472,4,1999,6
473,5,1999,6
474,6,1999,6
475,7,1999,6
476,8,1999,6
477,0,1999,7
478,1,1999,7
479,2,1999,7
480,3,1999,7
481,4,1999,7
482,5,1999,7
483,6,1999,7
484,7,1999,7
485,8,1999,7
486,0,1999,8
487,1,1999,8
488,2,1999,8
489,3,1999,8
490,4,1999,8
491,5,1999,8
492,6,1999,8
493,7,1999,8
494,8,1999,8
495,0,1999,9
496,1,1999,9
497,2,1999,9
498,3,1999,9
499,4,1999,9
500,5,1999,9
501,6,1999,9
502,7,1999,9
503,8,1999,9
504,0,1999,10
505,1,1999,10
506,2,1999,10
507,3,1999,10
508,4,1999,10
509,5,1999,10
510,6,1999,10
511,7,1999,10
512,8,1999,10
513,0,1999,11
514,1,1999,11
515,2,1999,11
516,3,1999,11
517,4,1999,11
518,5,1999,11
519,6,1999,11
520,7,1999,11
521,8,1999,11
522,0,1999,12
523,1,1999,12
524,2,1999,12
525,3,1999,12
526,4,1999,12
527,5,1999,12
528,6,1999,12
529,7,1999,12
530,8,1999,12
531,0,1999,13
532,1,1999,13
533,2,1999,13
534,3,1999,13
535,4,1999,13
536,5,1999,13
537,6,1999,13
538,7,1999,13
539,8,1999,13
540,0,1999,14
541,1,1999,14
542,2,1999,14
543,3,1999,14
544,4,1999,14
545,5,1999,14
546,6,1999,14
547,7,1999,14
548,8,1999,14
549,0,1999,15
550,1,1999,15
551,2,1999,15
552,3,1999,15
553,4,1999,15
554,5,1999,15
555,6,1999,15
556,7,1999,15
557,8,1999,15
558,0,1999,16
559,1,1999,16
560,2,1999,16
561,3,1999,16
562,4,1999,16
563,5,1999,16
564,6,1999,16
565,7,1999,16
566,8,1999,16
567,0,1999,17
568,1,1999,17
569,2,1999,17
570,3,1999,17
571,4,1999,17
572,5,1999,17
573,6,1999,17
574,7,1999,17
575,8,1999,17
576,0,1999,18
577,1,1999,18
578,2,1999,18
579,3,1999,18
580,4,1999,18
581,5,1999,18
582,6,1999,18
583,7,1999,18
584,8,1999,18
585,0,1999,19
586,1,1999,19
587,2,1999,19
588,3,1999,19
589,4,1999,19
590,5,1999,19
591,6,1999,19
592,7,1999,19
593,8,1999,19
594,0,1999,20
595,1,1999,20
596,2,1999,20
597,3,1999,20
598,4,1999,20
599,5,1999,20
600,6,1999,20
601,7,1999,20
602,8,1999,20
603,0,1999,40
604,1,1999,40
605,2,1999,40
606,3,1999,40
607,4,1999,40
608,5,1999,40
609,6,1999,40
610,7,1999,40
611,8,1999,40
612,0,1999,41
613,1,1999,41
614,2,1999,41
615,3,1999,41
616,4,1999,41
617,5,1999,41
618,6,1999,41
619,7,1999,41
620,8,1999,41
621,0,1999,42
622,1,1999,42
623,2,1999,42
624,3,1999,42
625,4,1999,42
626,5,1999,42
627,6,1999,42
628,7,1999,42
629,8,1999,42
630,0,1999,43
631,1,1999,43
632,2,1999,43
633,3,1999,43
634,4,1999,43
635,5,1999,43
636,6,1999,43
637,7,1999,43
638,8,1999,43
639,0,1999,44
640,1,1999,44
641,2,1999,44
642,3,1999,44
643,4,1999,44
644,5,1999,44
645,6,1999,44
646,7,1999,44
647,8,1999,44
648,0,1999,45
649,1,1999,45
650,2,1999,45
651,3,1999,45
652,4,1999,45
653,5,1999,45
654,6,1999,45
655,7,1999,45
656,8,1999,45
657,0,1999,46
658,1,1999,46
659,2,1999,46
660,3,1999,46
661,4,1999,46
662,5,1999,46
663,6,1999,46
664,7,1999,46
665,8,1999,46
666,0,1999,47
667,1,1999,47
668,2,1999,47
669,3,1999,47
670,4,1999,47
671,5,1999,47
672,6,1999,47
673,7,1999,47
674,8,1999,47
675,0,1999,48
676,1,1999,48
677,2,1999,48
678,3,1999,48
679,4,1999,48
680,5,1999,48
681,6,1999,48
682,7,1999,48
683,8,1999,48
684,0,1999,49
685,1,1999,49
686,2,1999,49
687,3,1999,49
688,4,1999,49
689,5,1999,49
690,6,1999,49
691,7,1999,49
692,8,1999,49
693,0,1999,50
694,1,1999,50
695,2,1999,50
696,3,1999,50
697,4,1999,50
698,5,1999,50
699,6,1999,50
700,7,1999,50
701,8,1999,50
702,0,1999,51
703,1,1999,51
704,2,1999,51
705,3,1999,51
706,4,1999,51
707,5,1999,51
708,6,1999,51
709,7,1999,51
710,8,1999,51
711,0,1999,52
712,1,1999,52
713,2,1999,52
714,3,1999,52
715,4,1999,52
716,5,1999,52
717,6,1999,52
718,7,1999,52
719,8,1999,52
720,0,2000,1
721,1,2000,1
722,2,2000,1
723,3,2000,1
724,4,2000,1
725,5,2000,1
726,6,2000,1
727,7,2000,1
728,8,2000,1
729,0,2000,2
730,1,2000,2
731,2,2000,2
732,3,2000,2
733,4,2000,2
734,5,2000,2
735,6,2000,2
736,7,2000,2
737,8,2000,2
738,0,2000,3
739,1,2000,3
740,2,2000,3
741,3,2000,3
742,4,2000,3
743,5,2000,3
744,6,2000,3
745,7,2000,3
746,8,2000,3
747,0,2000,4
748,1,2000,4
749,2,2000,4
750,3,2000,4
751,4,2000,4
752,5,2000,4
753,6,2000,4
754,7,2000,4
755,8,2000,4
756,0,2000,5
757,1,2000,5
758,2,2000,5
759,3,2000,5
760,4,2000,5
761,5,2000,5
762,6,2000,5
763,7,2000,5
764,8,2000,5
